q_index10,language,embedding,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
4,ca,all-minilm,3,0.0,0.1546218487394958,0.1546218487394958,0.2522748007298569,0.0,0.0,2.8333333333333335,7.433333333333334,0.25666666666666665,0.7433333333333333,0.705,21.106016666666665,19.05501333333333,2.0509866666666667,499.3333333333333,394.3333333333333,105.0,12.836789205446726,0.0,0.0,0.09523809523809523,0.2352941176470588,0.09523809523809523,0.2352941176470588
4,ca,mxbai-embed-large,3,0.0,0.2333333333333333,0.15555555555555556,0.21780792420327308,0.0,0.0,3.5,7.6433333333333335,0.23566666666666666,0.7643333333333334,0.725,22.069146666666665,19.974576666666668,2.09456,469.6666666666667,377.3333333333333,92.33333333333333,12.280272441721733,0.0,0.0,0.0,0.39999999999999997,0.0,0.26666666666666666
4,ca,nomic-embed-text,3,0.0,0.5468950969799866,0.46879662499356894,0.4315469441574911,0.3333333333333333,0.0,7.833333333333333,8.566666666666668,0.14333333333333334,0.8566666666666668,0.783,28.427623333333333,26.356186666666662,2.071426666666667,533.0,371.6666666666667,161.33333333333334,12.922168469694858,0.0,0.0,0.3870967741935483,0.7272727272727272,0.25806451612903225,0.7272727272727272
4,en,all-minilm,3,0.0,0.31459293394777266,0.2065028161802355,0.2562876923106256,0.0,0.0,5.466666666666666,8.049999999999999,0.19499999999999998,0.805,0.652,16.2943,14.239910000000002,2.0543799999999997,358.0,293.0,65.0,12.598493078743905,0.0,0.0,0.25806451612903225,0.4000000000000001,0.12903225806451613,0.3
4,en,mxbai-embed-large,3,0.0,0.33479532163742687,0.23489278752436646,0.281849477682811,0.0,0.0,6.166666666666667,8.806666666666667,0.11933333333333333,0.8806666666666666,0.727,20.014023333333334,17.922993333333334,2.0910266666666666,375.3333333333333,295.6666666666667,79.66666666666667,13.03120033841695,0.0,0.0,0.25,0.42105263157894735,0.16666666666666666,0.3157894736842105
4,en,nomic-embed-text,3,0.0,0.38888888888888884,0.25925925925925924,0.23482328482328482,0.0,0.0,7.166666666666667,8.799999999999999,0.12,0.88,0.761,19.510930000000002,17.42293666666667,2.0879800000000004,365.6666666666667,290.3333333333333,75.33333333333333,13.212639278333421,0.0,0.0,0.3333333333333333,0.5,0.2222222222222222,0.3333333333333333
4,es,all-minilm,3,0.0,0.23439112487100103,0.19272445820433437,0.26402435206457925,0.0,0.0,0.8333333333333334,7.846666666666667,0.21533333333333335,0.7846666666666667,0.599,20.773646666666668,18.71769666666667,2.0559366666666663,460.3333333333333,363.6666666666667,96.66666666666667,12.684199265617844,0.0,0.0,0.1176470588235294,0.375,0.1176470588235294,0.25
4,es,mxbai-embed-large,3,0.0,0.2962962962962963,0.2962962962962963,0.3746028720294828,0.0,0.0,3.5,8.803333333333333,0.11966666666666666,0.8803333333333333,0.794,26.94165,24.847539999999995,2.0941000000000005,509.6666666666667,372.3333333333333,137.33333333333334,12.870381479297107,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666
4,es,nomic-embed-text,3,0.0,0.15413533834586465,0.13561681982734614,0.21564888712844585,0.0,0.0,1.2333333333333334,8.896666666666667,0.11033333333333332,0.8896666666666667,0.755,21.98248666666667,19.89767,2.084806666666667,468.3333333333333,366.6666666666667,101.66666666666667,12.605170528197746,0.0,0.0,0.10526315789473685,0.19047619047619047,0.10526315789473685,0.19047619047619047
5,ca,all-minilm,3,0.0,0.4175501917437401,0.4175501917437401,0.2766483881179222,0.0,0.0,9.6,8.556666666666667,0.14433333333333334,0.8556666666666667,0.8119999999999999,23.37321,21.320876666666667,2.052313333333333,521.0,393.6666666666667,127.33333333333333,12.342165761954751,0.0,0.0,0.3225806451612903,0.5454545454545454,0.3225806451612903,0.5454545454545454
